scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,2,retained_certificates,55,5,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,56,3,0.46828497934303304,0.47704926543089865
moderate,2,retained_certificates,57,4,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,58,4,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,59,5,2.2458898881482545,2.234002915205743
moderate,2,retained_certificates,60,4,0.46828497934303304,0.47704926543089865
moderate,2,retained_certificates,61,5,1.8220519687577283,1.822025978972932
moderate,2,retained_certificates,62,5,2.02378194375552,2.02378194375552
moderate,2,retained_certificates,63,6,2.2458898881482545,2.234002915205743
moderate,3,operational,0,0,0.0,0.0
moderate,3,operational,1,1,1.3626247950780068,1.3638687868234154
moderate,3,operational,2,1,1.2335955048950735,1.2335955048950735
moderate,3,operational,3,2,1.8524753512307677,1.8530649247911128
moderate,3,operational,4,1,-0.09782416514301495,-0.09824991451759324
moderate,3,operational,5,2,1.36262381788241,1.363867815116203
moderate,3,operational,6,2,1.327255890225226,1.325502542933081
moderate,3,operational,7,3,1.8524753512252943,1.853064924785528
moderate,3,operational,8,1,8.378719940083101e-11,8.378719940083101e-11
moderate,3,operational,9,2,1.3626232957757893,1.3638672959724079
moderate,3,operational,10,2,1.2335955048950735,1.2335955048950735
moderate,3,operational,11,3,1.8524753512274437,1.853064924787721
moderate,3,operational,12,2,-0.09782416493420065,-0.09824991435240449
moderate,3,operational,13,3,1.3626222904218936,1.363866218562472
moderate,3,operational,14,3,1.3272558902001457,1.3255025429083713
moderate,3,operational,15,4,1.8524753512245518,1.8530649247847708
moderate,3,operational,16,1,1.2940472747498322,1.2940472747498322
moderate,3,operational,17,2,1.6567148287093336,1.6597495364073538
moderate,3,operational,18,2,1.5458240524085598,1.5472846965270883
moderate,3,operational,19,3,1.807818666576634,1.8098040278087266
moderate,3,operational,20,2,1.377332142064168,1.377332142064168
moderate,3,operational,21,3,1.660289836234179,1.663851440086022
moderate,3,operational,22,3,1.5962180623512108,1.5956036132964355
moderate,3,operational,23,4,1.8008481253883288,1.8026524936969297
moderate,3,operational,24,2,1.2942773675546193,1.2942773675546193
moderate,3,operational,25,3,1.6900686402891947,1.693248878958931
moderate,3,operational,26,3,1.545824125412488,1.547284772926182
moderate,3,operational,27,4,1.8367933614461984,1.8386637224952738
moderate,3,operational,28,3,1.3791388457137526,1.3791388457137526
moderate,3,operational,29,4,1.6701174600294664,1.6731523319163428
moderate,3,operational,30,4,1.5974616503710677,1.5968043947237183
moderate,3,operational,31,5,1.8150561320301533,1.8168809277599833
moderate,3,operational,32,1,0.002149662939441299,0.002936888836948981
moderate,3,operational,33,2,1.3626145556291975,1.363858605258863
moderate,3,operational,34,2,1.2335955048950735,1.2335955048950735
moderate,3,operational,35,3,1.852475351226945,1.8530649247872129
moderate,3,operational,36,2,-0.08393443761247266,-0.08037247866272157
moderate,3,operational,37,3,1.3626163456969742,1.3638603852673015
moderate,3,operational,38,3,1.32725589030801,1.3255025430146423
moderate,3,operational,39,4,1.85247535123057,1.8530649247909112
moderate,3,operational,40,2,0.002149662934770369,0.0029368888323064724
moderate,3,operational,41,3,1.3626230941494,1.3638670951195717
moderate,3,operational,42,3,1.2335955048950735,1.2335955048950735
moderate,3,operational,43,4,1.8524753512250465,1.8530649247852753
moderate,3,operational,44,3,-0.08393442854547484,-0.08037247252014446
moderate,3,operational,45,4,1.362615338745563,1.3638593832522812
moderate,3,operational,46,4,1.327255890168062,1.3255025428764111
moderate,3,operational,47,5,1.852475351227885,1.853064924788172
moderate,3,operational,48,2,1.3967936167537718,1.3967936167537718
