scenario,replicate,family,mask,cardinality,reference_value,planning_value
moderate,1,operational,62,5,0.014534701646340409,0.015155577818513066
moderate,1,operational,63,6,0.1406652721194761,0.13851884897916955
moderate,1,retained_certificates,0,0,0.0,0.0
moderate,1,retained_certificates,1,1,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,2,1,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,3,2,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,4,1,0.0,0.0
moderate,1,retained_certificates,5,2,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,6,2,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,7,3,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,8,1,0.0,0.0
moderate,1,retained_certificates,9,2,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,10,2,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,11,3,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,12,2,0.0,0.0
moderate,1,retained_certificates,13,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,14,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,15,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,16,1,0.0,0.0
moderate,1,retained_certificates,17,2,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,18,2,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,19,3,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,20,2,0.0,0.0
moderate,1,retained_certificates,21,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,22,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,23,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,24,2,0.0,0.0
moderate,1,retained_certificates,25,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,26,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,27,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,28,3,0.0,0.0
moderate,1,retained_certificates,29,4,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,30,4,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,31,5,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,32,1,0.0,0.0
moderate,1,retained_certificates,33,2,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,34,2,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,35,3,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,36,2,0.0,0.0
moderate,1,retained_certificates,37,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,38,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,39,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,40,2,0.0,0.0
moderate,1,retained_certificates,41,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,42,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,43,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,44,3,0.0,0.0
moderate,1,retained_certificates,45,4,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,46,4,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,47,5,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,48,2,0.0,0.0
moderate,1,retained_certificates,49,3,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,50,3,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,51,4,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,52,3,0.0,0.0
moderate,1,retained_certificates,53,4,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,54,4,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,55,5,0.09515034588801452,0.09839344528784721
moderate,1,retained_certificates,56,3,0.0,0.0
moderate,1,retained_certificates,57,4,0.003840889585177365,0.0029462408323208678
moderate,1,retained_certificates,58,4,0.09130945630283716,0.09544720445552635
moderate,1,retained_certificates,59,5,0.09515034588801452,0.09839344528784721
