surface,replicate,seed,method,target,estimate,released,lower,upper,data_access,truth,absolute_error,covered
constant,97,3951308177,rbf_kernel_ridge,3,1.6745961131577676,True,,,archive_summaries,2.0,0.3254038868422324,
constant,97,3951308177,unit_ridge_t_learner,3,1.560460471111397,True,,,source_individuals,2.0,0.43953952888860304,
constant,97,3951308177,atlas,4,2.319936381976068,False,-1.9967530598711027,6.6366258238232385,archive_summaries,2.0,0.3199363819760679,True
constant,97,3951308177,atlas_no_rejection,4,2.319936381976068,True,-1.2848165551589714,5.924689319111107,archive_summaries,2.0,0.3199363819760679,True
constant,97,3951308177,semantic_forced,4,1.412920276048637,True,0.2787468684688248,2.5470936836284492,archive_summaries,2.0,0.587079723951363,True
constant,97,3951308177,ivw_meta,4,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,random_effects_meta,4,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,full_nearest,4,2.6950376416220068,True,,,archive_summaries,2.0,0.6950376416220068,
constant,97,3951308177,ridge_meta_regression,4,3.161660269643332,True,,,archive_summaries,2.0,1.161660269643332,
constant,97,3951308177,rbf_kernel_ridge,4,2.0650657146860496,True,,,archive_summaries,2.0,0.0650657146860496,
constant,97,3951308177,unit_ridge_t_learner,4,2.10197404854751,True,,,source_individuals,2.0,0.1019740485475098,
constant,97,3951308177,atlas,5,1.323601067822274,True,-1.2626404849391388,3.909842620583687,archive_summaries,2.0,0.676398932177726,True
constant,97,3951308177,atlas_no_rejection,5,1.323601067822274,True,-0.8684451918237475,3.5156473274682956,archive_summaries,2.0,0.676398932177726,True
constant,97,3951308177,semantic_forced,5,1.281706492929691,True,0.06524205449090692,2.4981709313684752,archive_summaries,2.0,0.7182935070703089,True
constant,97,3951308177,ivw_meta,5,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,random_effects_meta,5,1.6369821070513786,True,,,archive_summaries,2.0,0.3630178929486214,
constant,97,3951308177,full_nearest,5,1.4296787050822708,True,,,archive_summaries,2.0,0.5703212949177292,
constant,97,3951308177,ridge_meta_regression,5,1.3780846791652686,True,,,archive_summaries,2.0,0.6219153208347314,
constant,97,3951308177,rbf_kernel_ridge,5,1.1138930750849412,True,,,archive_summaries,2.0,0.8861069249150588,
constant,97,3951308177,unit_ridge_t_learner,5,1.560741875505287,True,,,source_individuals,2.0,0.4392581244947129,
constant,98,283329101,atlas,0,2.2938488347450763,True,0.0678869135398652,4.519810755950287,archive_summaries,2.0,0.2938488347450763,True
constant,98,283329101,atlas_no_rejection,0,2.2938488347450763,True,0.4354389099760474,4.152258759514105,archive_summaries,2.0,0.2938488347450763,True
constant,98,283329101,semantic_forced,0,2.175134263085356,True,0.9816455504214203,3.368622975749292,archive_summaries,2.0,0.17513426308535607,True
constant,98,283329101,ivw_meta,0,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,0,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,0,1.4619981579137074,True,,,archive_summaries,2.0,0.5380018420862926,
constant,98,283329101,ridge_meta_regression,0,1.9858961314179466,True,,,archive_summaries,2.0,0.01410386858205337,
constant,98,283329101,rbf_kernel_ridge,0,2.1167305238122687,True,,,archive_summaries,2.0,0.11673052381226867,
constant,98,283329101,unit_ridge_t_learner,0,2.228798151531813,True,,,source_individuals,2.0,0.22879815153181315,
constant,98,283329101,atlas,1,2.6242353509625964,True,0.20753789997906447,5.040932801946129,archive_summaries,2.0,0.6242353509625964,True
constant,98,283329101,atlas_no_rejection,1,2.6242353509625964,True,0.5498990763882832,4.69857162553691,archive_summaries,2.0,0.6242353509625964,True
constant,98,283329101,semantic_forced,1,2.150917185066627,True,1.106706679247176,3.1951276908860784,archive_summaries,2.0,0.1509171850666271,True
constant,98,283329101,ivw_meta,1,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,random_effects_meta,1,2.057804621194104,True,,,archive_summaries,2.0,0.05780462119410412,
constant,98,283329101,full_nearest,1,3.6703523174691868,True,,,archive_summaries,2.0,1.6703523174691868,
constant,98,283329101,ridge_meta_regression,1,2.3731969243113546,True,,,archive_summaries,2.0,0.37319692431135465,
constant,98,283329101,rbf_kernel_ridge,1,2.129015065707394,True,,,archive_summaries,2.0,0.12901506570739407,
