scenario,replicate,family,budget,reference_draws,planning_draws,valid,reason,gamma,monotone,monotonicity_violations,epsilon,optimum,selected_value,lower_bound,bound_holds,vacuous
severe,5,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.010214514729565138,5.089095049363309,5.089095049363309,3.196492577076051,True,False
severe,5,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.010214514729565138,5.343803715528755,5.343803715528755,3.3370701320118985,True,False
severe,5,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.010214514729565138,5.34381035714754,5.343803715528755,3.3166453008565466,True,False
severe,6,operational,1,2048,128,True,assumption_failed,-52.54019714052586,False,28,0.009328381717442547,3.3946355228043856,3.3946355228043856,,,
severe,6,operational,2,2048,128,True,assumption_failed,-52.54019714052586,False,28,0.009328381717442547,4.012884693134868,4.012884693134868,,,
severe,6,operational,3,2048,128,True,assumption_failed,-52.54019714052586,False,28,0.009328381717442547,4.012884693134868,4.012884693134739,,,
severe,6,retained_certificates,1,2048,128,True,eligible,0.9999999999918817,True,0,0.022066726282393034,3.382996563876847,3.382996563876847,2.094328225897675,True,False
severe,6,retained_certificates,2,2048,128,True,eligible,0.9999999999918817,True,0,0.022066726282393034,3.8607698332353224,3.8607698332353224,2.3522050793513305,True,False
severe,6,retained_certificates,3,2048,128,True,eligible,0.9999999999918817,True,0,0.022066726282393034,3.8607698332353224,3.8607698332353224,2.3080716267861865,True,False
severe,7,operational,1,2048,128,True,assumption_failed,0.17284386419991715,False,27,0.009118114774810948,2.906824770771196,2.906824770771196,,,
severe,7,operational,2,2048,128,True,assumption_failed,0.17284386419991715,False,27,0.009118114774810948,3.4889417967280947,3.4889417967280947,,,
severe,7,operational,3,2048,128,True,assumption_failed,0.17284386419991715,False,27,0.009118114774810948,3.488942237151141,3.488942237151141,,,
severe,7,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.01112760305114513,2.896455233037853,2.896455233037853,1.8086536944274976,True,False
severe,7,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.01112760305114513,2.9408185180960915,2.9408185180960915,1.8144414328676917,True,False
severe,7,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.01112760305114513,2.9408185180960915,2.9408185180960915,1.7921862267654014,True,False
severe,8,operational,1,2048,128,True,assumption_failed,-0.8356928803190414,False,23,0.004406956769842818,3.5202435321083976,3.5202435321083976,,,
severe,8,operational,2,2048,128,True,assumption_failed,-0.8356928803190414,False,23,0.004406956769842818,4.08890464525501,4.08890464525501,,,
severe,8,operational,3,2048,128,True,assumption_failed,-0.8356928803190414,False,23,0.004406956769842818,4.131040802764729,4.098436740524663,,,
severe,8,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.006959666527258435,3.507453881866057,3.507453881866057,2.203214374816049,True,False
severe,8,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.006959666527258435,3.549296396453714,3.549296396453714,2.215744555465474,True,False
severe,8,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.006959666527258435,3.5495232366483345,3.549296396453714,2.2019686127615454,True,False
severe,9,operational,1,2048,128,True,assumption_failed,-0.14579138795018382,False,28,0.014238062552154318,4.25991776317445,4.25991776317445,,,
severe,9,operational,2,2048,128,True,assumption_failed,-0.14579138795018382,False,28,0.014238062552154318,4.8411984898998135,4.8411984898998135,,,
severe,9,operational,3,2048,128,True,assumption_failed,-0.14579138795018382,False,28,0.014238062552154318,4.95478354163761,4.841198489901622,,,
severe,9,retained_certificates,1,2048,128,True,eligible,1.0,True,0,0.01803559476157357,4.250460065173048,4.250460065173048,2.6507320021525076,True,False
severe,9,retained_certificates,2,2048,128,True,eligible,1.0,True,0,0.01803559476157357,4.2991397826441204,4.2991397826441204,2.645432262840791,True,False
severe,9,retained_certificates,3,2048,128,True,eligible,1.0,True,0,0.01803559476157357,4.2991397826441204,4.2991397826441204,2.6093610733176438,True,False
severe,10,operational,1,2048,128,True,assumption_failed,-0.39281809550081875,False,18,0.0069281539457586305,2.771927617802478,2.771927617802478,,,
