method,seed_batch,replicate,split_seed,target_object_id,heldout_local_contrast,reconstructed_contrast,signed_reconstruction_error,absolute_reconstruction_error,accepted,interval_lower,interval_upper,interval_includes_reference,certificate_radius
nearest_semantic,0,9,820128927,local_077,3.4387797773024618,0.766750504069857,-2.6720292732326048,2.6720292732326048,True,-6.039635434939414,7.573136443079128,True,6.806385939009271
global_mean,0,9,820128927,local_077,3.4387797773024618,1.6117296364640519,-1.8270501408384099,1.8270501408384099,True,0.7495223719155605,2.4739369010125434,False,0.8622072645484914
atlas,0,9,820128927,local_082,1.2303015876183143,0.9019199478393978,-0.32838163977891655,0.32838163977891655,True,-0.9952923704209515,2.799132266099747,True,1.8972123182603493
atlas_no_rejection,0,9,820128927,local_082,1.2303015876183143,0.9019199478393978,-0.32838163977891655,0.32838163977891655,True,-0.8557311408293329,2.6595710365081286,True,1.7576510886687307
semantic_forced,0,9,820128927,local_082,1.2303015876183143,0.2774485315904003,-0.952853056027914,0.952853056027914,True,-0.7536694859454589,1.3085665491262595,True,1.0311180175358592
nearest_semantic,0,9,820128927,local_082,1.2303015876183143,0.24657180963046255,-0.9837297779878518,0.9837297779878518,True,-2.4801079857200192,2.9732516049809443,True,2.7266797953504818
global_mean,0,9,820128927,local_082,1.2303015876183143,1.6117296364640519,0.38142804884573756,0.38142804884573756,True,0.38020772753526866,2.8432515453928353,True,1.2315219089287832
atlas,0,9,820128927,local_084,1.2955399081796255,1.2273413765700807,-0.06819853160954481,0.06819853160954481,True,-1.9579876080181953,4.412670361158357,True,3.185328984588276
atlas_no_rejection,0,9,820128927,local_084,1.2955399081796255,1.2273413765700807,-0.06819853160954481,0.06819853160954481,True,-1.7923305259479154,4.247013279088077,True,3.019671902517996
semantic_forced,0,9,820128927,local_084,1.2955399081796255,1.2478985926118806,-0.04764131556774487,0.04764131556774487,True,-0.963870237178333,3.4596674224020942,True,2.2117688297902136
nearest_semantic,0,9,820128927,local_084,1.2955399081796255,1.6104133850546454,0.3148734768750199,0.3148734768750199,True,-2.644239439211967,5.865066209321258,True,4.254652824266612
global_mean,0,9,820128927,local_084,1.2955399081796255,1.6117296364640519,0.3161897282844264,0.3161897282844264,True,-0.7938240661126865,4.01728333904079,True,2.4055537025767384
atlas,0,9,820128927,local_092,-0.8974462428457253,1.2989618108675183,2.1964080537132435,2.1964080537132435,False,-2.2048628831706005,4.802786504905637,True,3.503824694038119
atlas_no_rejection,0,9,820128927,local_092,-0.8974462428457253,1.2989618108675183,2.1964080537132435,2.1964080537132435,True,-2.077088575147393,4.675012196882429,True,3.3760503860149114
semantic_forced,0,9,820128927,local_092,-0.8974462428457253,0.9206308381137684,1.8180770809594937,1.8180770809594937,True,-0.9398967447790243,2.781158421006561,True,1.8605275828927927
nearest_semantic,0,9,820128927,local_092,-0.8974462428457253,-0.7189533198861513,0.17849292295957397,0.17849292295957397,True,-4.59136013498236,3.1534534952100577,True,3.872406815096209
global_mean,0,9,820128927,local_092,-0.8974462428457253,1.6117296364640519,2.509175879309777,2.509175879309777,True,0.2789971914440761,2.9444620814840277,False,1.3327324450199758
